date/time,MEAN
2000-09-21T10:55:00,1606.299
2000-11-29T20:45:00,1606.152
2000-12-29T14:40:00,1605.923
2001-02-07T06:35:00,1606.076
2001-03-28T20:27:00,1606.177
2001-04-07T18:26:00,1606.151
2001-04-17T16:24:00,1606.168
2001-04-27T14:23:00,1606.206
2001-05-07T12:21:00,1606.315
2001-05-27T08:18:00,1606.305
2001-06-16T04:15:00,1606.278
2001-06-26T02:14:00,1606.316
2001-07-06T00:12:00,1606.283
2001-07-15T22:11:00,1606.306
2001-07-25T20:09:00,1606.265
2001-08-04T18:08:00,1606.236
2001-08-24T14:05:00,1606.251
2001-09-13T10:02:00,1606.164
2001-09-23T08:01:00,1606.367
2001-10-13T03:58:00,1606.183
2001-10-23T01:56:00,1606.277
2001-11-01T23:55:00,1606.351
2001-11-11T21:53:00,1606.082
2001-12-01T17:50:00,1606.441
2002-01-10T09:44:00,1606.247
2002-01-20T07:42:00,1606.101
2002-01-30T05:40:00,1606.115
2002-02-09T03:39:00,1606.108
2002-02-19T01:38:00,1606.07
2002-02-28T23:36:00,1606.101
2002-03-10T21:34:00,1606.138
2002-03-20T19:33:00,1606.097
2002-03-30T17:31:00,1606.2
2002-03-30T17:33:00,1606.106
2002-04-09T15:30:00,1606.195
2002-04-19T13:28:00,1606.168
2002-04-19T13:30:00,1606.192
2002-04-29T11:27:00,1606.153
2002-05-09T09:25:00,1606.205
2002-05-19T07:24:00,1606.227
2002-05-29T05:22:00,1606.343
2002-05-29T05:23:00,1606.226
2002-06-08T03:21:00,1606.285
2002-06-18T01:20:00,1606.266
2002-06-27T23:18:00,1606.326
2002-07-07T21:17:00,1606.337
2002-07-17T19:15:00,1606.283
2002-07-27T17:14:00,1606.335
2002-08-06T15:12:00,1606.327
2002-08-16T13:11:00,1606.326
2002-08-26T11:09:00,1606.404
2002-09-05T09:08:00,1606.343
2002-09-15T07:06:00,1606.41
2002-09-25T05:05:00,1606.382
2002-10-05T03:03:00,1606.368
2002-10-15T01:02:00,1606.384
2002-10-24T23:00:00,1606.293
2002-11-03T20:59:00,1606.285
2002-11-13T18:57:00,1606.276
2002-11-23T16:56:00,1606.253
2002-12-03T14:55:00,1606.33
2002-12-13T12:53:00,1606.258
2002-12-23T10:52:00,1606.257
2003-01-02T08:50:00,1606.256
2003-01-12T06:49:00,1606.231
2003-01-22T04:47:00,1606.278
2003-02-01T02:46:00,1606.253
2003-02-11T00:44:00,1606.288
2003-02-20T22:43:00,1606.236
2003-03-02T20:41:00,1606.302
2003-03-12T18:40:00,1606.253
